employment_cap,objective,annual_gdp,employment,construction_cost,gdp_per_capita,gdp_per_construction,era_cap,arable_land_consumption,level_building_coal_mine,level_building_iron_mine,level_building_lead_mine,level_building_sulfur_mine,level_building_gold_mine,level_building_logging_camp,level_building_rubber_plantation,level_building_fishing_wharf,level_building_whaling_station,level_building_oil_rig,error
25000000,gdp,486628332.9019878,25000000.0,3365979.3466237197,19.465133316079513,144.57258431787628,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
26000000,gdp,493898192.7435478,26000000.0,3305772.155886364,18.9960843362903,149.40478939666087,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
27000000,gdp,501168052.5851078,26999999.999999996,3245564.965149009,18.561779725374365,154.41627512210292,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
28000000,gdp,508437912.42666787,27999999.999999996,3185357.7744116536,18.158496872380997,159.617207370239,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
29000000,gdp,515707772.2682278,29000000.0,3125150.5836742986,17.78302662993889,165.01853541466807,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
30000000,gdp,522977632.1097878,29999999.999999993,3064943.392936943,17.432587736992932,170.63206887114842,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
31000000,gdp,530247491.9513479,31000000.0,3004736.2021995876,17.10475780488219,176.4705638928254,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
32000000,gdp,537517351.792908,32000000.0,2944529.011462232,16.797417243528372,182.54781994013388,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
33000000,gdp,544787211.634468,33000000.0,2884321.820724877,16.508703382862667,188.87878867052154,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
34000000,gdp,552057071.476028,34000000.0,2824114.629987522,16.23697269047141,195.47969675666712,5,845.0,129.0,104.0,207.0,149.0,11.0,115.0,0.0,0.0,24.0,12.0,
